name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Bayswater Dental Clinic - Emergency Dentist and Invisalign Braces London,"1 Cervantes Ct, Inverness Terrace, London W2 6JE, United Kingdom",bayswaterdental.co.uk,+44 20 7229 4627,0,4.8,51.5141942,-0.3312608
Square Mile Dental Centre,"1 Cervantes Ct, Inverness Terrace, London W2 6JE, United Kingdom",bayswaterdental.co.uk,+44 20 7229 4627,0,4.8,51.5141942,-0.3312608
Dental Smiles London | The home of kind & gentle dentists,"245 Pentonville Rd, London N1 9NG, United Kingdom",dentalsmileslondon.co.uk,+44 20 3912 8109,0,4.9,51.5141942,-0.3312608
Harley Street Dental Clinic (HSDC London),"245 Pentonville Rd, London N1 9NG, United Kingdom",dentalsmileslondon.co.uk,+44 20 3912 8109,0,4.9,51.5141942,-0.3312608
Emergency Dentist - Baker Street Dental,"102 Baker St, London W1U 6FY, United Kingdom",24hour-emergencydentist.co.uk,+44 20 7486 1047,0,4.7,51.5141942,-0.3312608
Forest & Ray,"102 Baker St, London W1U 6FY, United Kingdom",24hour-emergencydentist.co.uk,+44 20 7486 1047,0,4.7,51.5141942,-0.3312608
Bridge Dental,"91 Borough High St, London Brg, London SE1 1NL, United Kingdom",bridgedental.com,+44 20 7407 2174,0,4.9,51.504167,-0.2347964
Notting Hill Dental,"22 Pembridge Rd, Notting Hill Gate, London W11 3HL, United Kingdom",nottinghilldentalsurgery.co.uk,+44 20 7727 4795,0,4.6,51.509696,-0.3413306
Harley Street Dental Clinic (HSDC London),"22 Pembridge Rd, Notting Hill Gate, London W11 3HL, United Kingdom",nottinghilldentalsurgery.co.uk,+44 20 7727 4795,0,4.6,51.509696,-0.3413306
Harley Street Dental Studio,"52 Harley St, London W1G 9PY, United Kingdom",harleystreetdentalstudio.com,+44 20 7636 5981,0,4.7,51.509696,-0.3413306
London City Dentists,"52 Harley St, London W1G 9PY, United Kingdom",harleystreetdentalstudio.com,+44 20 7636 5981,0,4.7,51.5116136,-0.2218592
Borough Dental Care,"10 Lloyd's Ave, Tower Hill, London EC3N 3AX, United Kingdom",londoncitydentists.com,+44 20 7488 4445,0,5.0,51.5116136,-0.2218592
Covent Garden Dental Spa,"10 Lloyd's Ave, Tower Hill, London EC3N 3AX, United Kingdom",londoncitydentists.com,+44 20 7488 4445,0,5.0,51.5116136,-0.2218592
Mint Dental Clinic,"3, St Georges Court, Garden Row, Elephant and Castle, London SE1 6HD, United Kingdom",mintdentalclinic.co.uk,+44 20 7928 4474,0,4.8,51.5116136,-0.2218592
Bond Dental London (KINGS CROSS),"3, St Georges Court, Garden Row, Elephant and Castle, London SE1 6HD, United Kingdom",mintdentalclinic.co.uk,+44 20 7928 4474,0,4.8,51.5116136,-0.2218592
Wimpole Street Dental Clinic,"38 Queen Anne St, London W1G 8HZ, United Kingdom",wimpolestreetdental.clinic,+44 20 3769 9697,0,4.9,51.5180302,-0.2920895
Pall Mall Dental London,"38 Queen Anne St, London W1G 8HZ, United Kingdom",wimpolestreetdental.clinic,+44 20 3769 9697,0,4.9,51.5180302,-0.2920895
The Kensington Dentist,"112 Kensington Church St, London W8 4BH, United Kingdom",thekensingtondentist.com,+44 20 7221 1680,0,4.9,51.5180302,-0.2920895
London Dental Studio,"112 Kensington Church St, London W8 4BH, United Kingdom",thekensingtondentist.com,+44 20 7221 1680,0,4.9,51.5180302,-0.2920895
Mill Hill Dental Practice,"Mill Hill Dental Practice, 8 Mill Way, London NW7 3RE, United Kingdom",millhilldentist.co.uk,+44 20 8959 1208,0,4.7,51.6148611,-0.3930131
Smile Cliniq,"Mill Hill Dental Practice, 8 Mill Way, London NW7 3RE, United Kingdom",millhilldentist.co.uk,+44 20 8959 1208,0,4.7,51.6148611,-0.3930131
Bow Lane Dental,"Mill Hill Dental Practice, 8 Mill Way, London NW7 3RE, United Kingdom",millhilldentist.co.uk,+44 20 8959 1208,0,4.7,51.6148611,-0.3930131
Maida Smiles Dental Clinic,"207-209 Sutherland Ave, London W9 1RU, United Kingdom",maidasmiles.co.uk,+44 20 3583 9809,0,4.8,51.5279399,-0.3261355
Londent Oral Care,"207-209 Sutherland Ave, London W9 1RU, United Kingdom",maidasmiles.co.uk,+44 20 3583 9809,0,4.8,51.5279399,-0.3261355
London Dental Specialists,"207-209 Sutherland Ave, London W9 1RU, United Kingdom",maidasmiles.co.uk,+44 20 3583 9809,0,4.8,51.5279399,-0.3261355
Mint Dental Centre,"207-209 Sutherland Ave, London W9 1RU, United Kingdom",maidasmiles.co.uk,+44 20 3583 9809,0,4.8,51.5279399,-0.3261355
Victoria Dental Centre,"330 Vauxhall Bridge Rd, London SW1V 1AA, United Kingdom",victoriadental.biz,+44 20 7834 6161,0,4.9,51.5279399,-0.3261355
Notting Hill Dental,"330 Vauxhall Bridge Rd, London SW1V 1AA, United Kingdom",victoriadental.biz,+44 20 7834 6161,0,4.9,51.5279399,-0.3261355
